1																	
64	0																
1360	835.701111	114.488945	931.348816	0.395295	-0.185171	-0.899696	0.090986	0.982546	-0.162248	0.25	0.781	0.3	1	0.8	68	0.471239	1.570796
1400	940.74585	68.207481	692.393311	0.401873	-0.096112	-0.910637	0.055089	0.995213	-0.080728	0.25	0.81	0.3	1	0.8	68	0.471239	1.570796
1440	1027.147461	47.543388	496.607239	-0.39871	-0.052198	-0.91559	0.055089	0.995213	-0.080728	0.25	0.81	0.3	1	0.8	68	0.471239	1.570796
1480	934.780579	46.298515	359.770081	-0.776968	0.065168	-0.626158	0.100258	0.994742	-0.020879	0.25	0.81	0.3	1	0.8	67.400002	0.471239	1.570796
1520	854.216919	60.948143	294.043823	-0.88131	0.206645	-0.424959	0.200134	0.977901	0.060469	0.25	0.81	0.3	1	0.8	53.400002	0.471239	1.570796
1560	726.426819	90.91169	232.425018	-0.897747	0.342091	-0.277531	0.321156	0.939497	0.119177	0.25	0.81	0.3	1	0.8	52	0.471239	1.570796
1600	632.16394	126.831284	203.284378	-0.928333	0.337195	-0.156514	0.277557	0.908777	0.311588	0.25	0.797	0.3	1	0.8	52	0.492	1.570796
1640	600	130.699997	203.284378	-0.939917	0.341403	0	0.277557	0.908777	0.311588	0.25	0.728	0.3	1	0.8	50.700001	0.503	1.570796
1680	589	163.922714	186.068008	-0.923386	0.162832	0.347625	0.277557	0.908777	0.311588	0.271	0.655	0.3	1	0.8	43	0.54	1.62
1720	618	185.905121	232.997482	-0.784939	0.170468	0.595661	0.388452	0.89497	0.219393	0.318	0.523	0.3	1	0.8	20	0.6	1.7
1760	681	185.905121	281	-0.665731	-0.045769	0.744787	0.376438	0.922733	0.082817	0.454	0.352	0.3	1	0.8	19	0.694	1.82
1833	800	157	427.688934	-0.601352	-0.058066	0.796872	0.292292	0.954469	-0.059614	0.651	0.21	0.3	1	0.8	20.299999	0.779	2
1870	921	107	561	-0.537528	0.056844	0.841328	0.023236	0.994101	-0.105935	0.877	0.073	0.34	1	0.81	29.299999	0.845	2.3
1920	1035	68	620	-0.530769	0.07207	0.844447	-0.008627	0.99445	-0.104859	0.89	0.02	0.34	1	0.81	32.700001	0.893	2.38761
1960	1081	55	636.724426	-0.530256	0.084358	0.843631	-0.008627	0.99445	-0.104859	0.883	0.01	0.34	1	0.81	35.799999	0.915	2.38761
2000	1102.991699	36.400002	636.724426	-0.530256	0.084358	0.843631	-0.008627	0.99445	-0.104859	0.678	0.01	0.34	1	0.81	37	0.96	2.38761
